euid,leid,member_rating,optin_time,confirm_time,country_code,region,last_changed,notes,date_added
1ad6d04379,309505971,3,2019-11-08,2019-11-08,mt,56,2019-11-08,NA,2020-03-02
1ad8bc0f64,308390747,3,2019-09-28,2019-09-28,us,ca,2020-01-09,NA,2020-03-02
1ada875f0f,69130623,2,2019-03-23,2019-03-23,tn,11,2019-10-21,NA,2020-03-02
1adc12ca48,311291207,2,2019-12-30,2019-12-30,us,tn,2019-12-30,NA,2020-03-02
1adc40cecc,68628855,2,2019-03-13,2019-03-13,in,tg,2020-01-09,NA,2020-03-02
1add8f45b0,62994303,2,2018-11-19,2018-11-19,us,md,2019-10-21,NA,2020-03-02
1adf180097,312025024,2,2020-02-17,2020-02-17,NA,NA,2020-02-17,NA,2020-03-02
1ae1a5f9b4,65431163,2,2018-12-25,2018-12-25,us,mi,2020-01-09,NA,2020-03-02
1ae7396575,215304555,2,2019-08-15,2019-08-15,uk,hil,2020-01-09,NA,2020-03-02
1aeb235467,316695848,2,2020-02-28,2020-02-28,NA,NA,2020-02-28,NA,2020-03-02
1aedbfddda,162555307,2,2019-08-03,2019-08-03,it,ct,2019-10-21,NA,2020-03-02
1aedf3d5e9,67645675,2,2019-02-19,2019-02-19,pa,8,2020-01-09,NA,2020-03-02
1af46040a8,309086867,4,2019-10-25,2019-10-25,NA,NA,2020-02-15,NA,2020-03-02
1af511f5be,68149523,2,2019-02-27,2019-02-27,in,ka,2020-01-09,NA,2020-03-02
1af5dc210f,316640708,4,2020-02-24,2020-02-24,ch,vd,2020-02-24,NA,2020-03-02
1afa22eb58,311002171,2,2019-12-13,2019-12-13,NA,NA,2019-12-13,NA,2020-03-02
1afa686ace,311383283,2,2020-01-05,2020-01-05,ph,cav,2020-01-05,NA,2020-03-02
1afbf067ec,70782543,2,2018-09-29,2019-05-06,NA,NA,2020-01-09,NA,2020-03-02
1afd04bb7b,70783803,2,2019-02-13,2019-05-06,us,co,2020-01-09,NA,2020-03-02
1afdbe009a,62993479,2,2018-12-13,2018-12-13,in,ka,2020-01-09,NA,2020-03-02
1afe9712c1,311582851,2,2020-01-20,2020-01-20,NA,NA,2020-01-20,NA,2020-03-02
1b018c2fb4,316674436,2,2020-02-27,2020-02-27,TN,11,2020-02-27,NA,2020-03-02
1b02dbddf8,308342083,2,2019-09-25,2019-09-25,in,dl,2020-01-09,NA,2020-03-02
1b0aadd95a,99509911,2,2019-07-06,2019-07-06,id,jb,2020-01-09,NA,2020-03-02
1b0cd70fea,308039239,2,2019-09-11,2019-09-11,us,oh,2020-01-09,NA,2020-03-02
1b0ecd18a7,316711496,3,2020-03-01,2020-03-01,NA,NA,2020-03-01,NA,2020-03-02
1b115e270e,311908555,2,2020-02-09,2020-02-09,NA,NA,2020-02-09,NA,2020-03-02
1b12fafde9,312023864,2,2020-02-17,2020-02-17,NA,NA,2020-02-17,NA,2020-03-02
1b1587f255,68628899,2,2019-03-13,2019-03-13,es,m,2020-01-09,NA,2020-03-02
1b1cb9f332,307672111,2,2019-08-29,2019-08-29,NA,NA,2020-01-09,NA,2020-03-02
1b1e67ec6e,68259911,2,2019-03-04,2019-03-04,us,nc,2020-01-09,NA,2020-03-02
1b2310d4df,311259391,2,2019-12-27,2019-12-27,us,ca,2019-12-27,NA,2020-03-02
1b23445318,63058391,2,2018-11-19,2018-11-19,us,mo,2020-01-09,NA,2020-03-02
1b25302410,67805931,2,2019-02-21,2019-02-21,in,gj,2019-10-21,NA,2020-03-02
1b2544f1ca,62996635,2,2018-11-19,2018-11-19,us,ut,2019-10-21,NA,2020-03-02
1b254e9cbb,316693480,2,2020-02-28,2020-02-28,NA,NA,2020-02-28,NA,2020-03-02
1b2689f07c,311907419,4,2020-02-09,2020-02-09,et,aa,2020-02-09,NA,2020-03-02
1b29917e24,307673115,2,2019-08-29,2019-08-29,NA,NA,2020-01-09,NA,2020-03-02
1b2bfafaf0,312049024,2,2020-02-20,2020-02-20,NA,NA,2020-02-20,NA,2020-03-02
1b2ecb96a3,70775319,2,2019-01-01,2019-05-06,NA,NA,2020-02-26,NA,2020-03-02
1b342bd80c,70774327,2,2018-11-05,2019-05-06,uk,cam,2020-01-09,NA,2020-03-02
1b36c5ecae,70879531,2,2019-05-08,2019-05-08,NA,NA,2020-01-09,NA,2020-03-02
1b39250f8f,94751767,2,2019-06-14,2019-06-14,ru,mow,2019-10-21,NA,2020-03-02
1b39e43d3e,98751699,2,2019-07-05,2019-07-05,us,tx,2019-10-21,NA,2020-03-02
1b438c254d,73170999,2,2019-06-05,2019-06-05,mx,cmx,2020-01-09,NA,2020-03-02
1b47c89577,68537835,1,2019-03-11,2019-03-11,in,mh,2020-02-04,NA,2020-03-02
1b4a690920,69755419,2,2019-04-10,2019-04-10,in,ka,2020-01-09,NA,2020-03-02
1b55f43879,103945255,2,2019-07-10,2019-07-10,us,mi,2020-01-09,NA,2020-03-02
1b57d6f39a,70777135,2,2018-10-29,2019-05-06,NA,NA,2020-01-09,NA,2020-03-02
1b58162d62,70437727,2,2019-04-24,2019-04-24,NA,NA,2020-01-09,NA,2020-03-02
1b5852fafa,94892843,2,2019-06-18,2019-06-18,NA,NA,2019-10-21,NA,2020-03-02
1b5d2fd16a,63053975,4,2018-11-19,2018-11-19,de,be,2020-01-09,NA,2020-03-02
1b5f3a587d,66874323,2,2019-01-26,2019-01-26,za,gt,2019-10-21,NA,2020-03-02
1b6141cb6f,70879923,2,2019-05-08,2019-05-08,it,mi,2020-01-30,NA,2020-03-02
1b69421de0,311259655,2,2019-12-27,2019-12-27,NA,NA,2019-12-27,NA,2020-03-02
1b72084626,65592287,2,2019-01-03,2019-01-03,in,dl,2019-10-21,NA,2020-03-02
1b7b881c36,70182735,2,2019-04-18,2019-04-18,NA,NA,2020-01-09,NA,2020-03-02
1b7e158335,67498351,2,2019-02-15,2019-02-15,us,ct,2019-10-21,NA,2020-03-02
1b7f3bae3a,178305847,2,2019-08-07,2019-08-07,NA,NA,2019-10-21,NA,2020-03-02
1b7feeeac6,309035663,2,2019-10-24,2019-10-24,NA,NA,2019-10-24,NA,2020-03-02
1b820cb381,311991603,2,2020-02-14,2020-02-14,NA,NA,2020-02-14,NA,2020-03-02
1b89d6fda7,63056323,2,2018-11-19,2018-11-19,in,mh,2019-10-21,NA,2020-03-02
1b90797085,70782031,2,2019-02-20,2019-05-06,mx,cmx,2020-01-09,NA,2020-03-02
1b94864a50,71514075,2,2019-05-22,2019-05-22,in,tn,2020-01-09,NA,2020-03-02
1b97f0e8b4,71518983,2,2019-05-23,2019-05-23,NA,NA,2019-10-21,NA,2020-03-02
1b99b0f5ec,70778615,2,2019-03-10,2019-05-06,bn,bm,2020-01-09,NA,2020-03-02
1ba20225f2,63059255,2,2018-11-19,2018-11-19,NA,NA,2019-10-21,NA,2020-03-02
1ba2bb027d,68629003,2,2019-03-13,2019-03-13,ar,b,2020-01-09,NA,2020-03-02
1ba8018115,101103023,2,2019-07-08,2019-07-08,nl,fr,2019-10-21,NA,2020-03-02
1baa8c0f69,70774075,2,2018-08-28,2019-05-06,in,or,2020-01-09,NA,2020-03-02
1babdb6ce6,68149799,2,2019-02-27,2019-02-27,br,go,2020-01-09,NA,2020-03-02
1bacffc6ab,62994695,2,2018-11-19,2018-11-19,NA,NA,2019-10-21,NA,2020-03-02
1bb1b230a6,63001843,2,2018-11-19,2018-11-19,us,ga,2020-02-05,NA,2020-03-02
1bb1bf7251,257524415,2,2019-08-22,2019-08-22,ca,nb,2020-01-09,NA,2020-03-02
1bb38c41ee,63000687,2,2018-11-19,2018-11-19,us,mi,2020-01-09,NA,2020-03-02
